Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Djfxmjddpudoyo | Msg_id: 817558144074121258
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817559299969908788
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭 | Msg_id: 817559355876442172
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Voilaaa | Msg_id: 817559776841564221
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: No | Msg_id: 817559792083009556
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: No toi asmo | Msg_id: 817559820227444766
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817559847830421564
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Je suis gentille | Msg_id: 817559855522381855
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: J'aime le piment | Msg_id: 817559899445133433
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817559991866228795
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560001748009040
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560003090448384
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560004084498512
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouiii | Msg_id: 817560030852939799
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: https://tenor.com/view/out-disappear-bye-vanished-gif-4932063 | Msg_id: 817560096926203974
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭 | Msg_id: 817560141792411688
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Bahahahhaha | Msg_id: 817560148582203402
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Oupsiiiiiiiiiiiiiii | Msg_id: 817560172808634369
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭😭 | Msg_id: 817560182636675082
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Broken | Msg_id: 817560200348303393
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Hear | Msg_id: 817560208552493057
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: T | Msg_id: 817560215456972830
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Petit téton | Msg_id: 817560261039751218
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouuîiiiiiiiii | Msg_id: 817560424098562069
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Moi aussi je m'aime troop | Msg_id: 817560475327135765
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Damn | Msg_id: 817560507816738876
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560641333493781
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560715354570782
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560730936672277
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy/destroy | Msg_id: 817560734102978571
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817560742073073674
Auteur: Asmoless El Dictator | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: mais wsh | Msg_id: 817560808622915637
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817560816810983455
Auteur: Asmoless El Dictator | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: fait pas ca | Msg_id: 817560818002296852
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭 | Msg_id: 817560823378870272
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Bahahahhahaa | Msg_id: 817560830911709244
Auteur: Asmoless El Dictator | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: j'rigolais wlh | Msg_id: 817560835278504009
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jsuis morte | Msg_id: 817560843046486086
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Aurevoir | Msg_id: 817560854098214913
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭 | Msg_id: 817560861484122113
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭😭😭 | Msg_id: 817560917322891304
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: C'est mieux la | Msg_id: 817560960075825172
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ca fait du bien | Msg_id: 817561004179324980
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭 | Msg_id: 817561010839748620
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jpppppp | Msg_id: 817561048873566208
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭 | Msg_id: 817561057148141569
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561063833993226
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭 | Msg_id: 817561084906962954
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Oh waoouuuuuyy | Msg_id: 817561113636896769
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561154674491414
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561164636356649
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561170193023006
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561175515594752
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561197989462087
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561200392667176
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561202393350145
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561450104356905
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair | Msg_id: 817561454726348820
Auteur: Asmoless El Dictator | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: -p 99 drunk with me réglement radio | Msg_id: 817561488017457172
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: C'est vrai | Msg_id: 817561642644275200
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭 | Msg_id: 817561648993796119
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jpppp 😭😭😭😭😭😭 | Msg_id: 817561805836255262
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jsuis morte | Msg_id: 817561817642565683
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭 | Msg_id: 817561826971746336
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭 | Msg_id: 817561864279031849
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: C'est faux | Msg_id: 817561880481628170
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭 | Msg_id: 817561892180197426
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jppppppp | Msg_id: 817561929873752099
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭 | Msg_id: 817561938677596160
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭 | Msg_id: 817561973319139348
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: https://tenor.com/view/pedro-monkey-puppet-meme-awkward-gif-15268759 | Msg_id: 817562236691677214
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭😭😭😭 | Msg_id: 817562262914334740
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jpppppp | Msg_id: 817562274100543528
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouiiiiii | Msg_id: 817562285832405014
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 📍 | Msg_id: 817562292161609810
Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Un micro | Msg_id: 817562325464776754
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: *c 30 | Msg_id: 817562360453398553
Msg_id: 817562979716431923 | Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: s
Msg_id: 817562994564399104 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: J'ai eu peur
Msg_id: 817563066010828801 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Maiiis le son est fort qd vous venez en voc 😭😭😭😭😭
Msg_id: 817563168099532830 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: <@742479167043534970>  les femmes ont pris le pvr sur le serv
Msg_id: 817563209782525982 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Oui !
Msg_id: 817563226140573707 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Non regarde
Msg_id: 817563245610795119 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ya deux fonda
Msg_id: 817563265588658176 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouiii on est 2
Msg_id: 817563290237534228 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭
Msg_id: 817563298702688277 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Mairaa
Msg_id: 817563313344086067 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Peut t'expliquer
Msg_id: 817563475509379093 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: L'histoire
Msg_id: 817563496748679198 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: <@466700738194833411>
Msg_id: 817563504235511858 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭
Msg_id: 817563527509442570 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: L histoire
Msg_id: 817563538755026984 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭
Msg_id: 817563555234185226 | Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /repair
Msg_id: 817563673492324352 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jpppppppp
Msg_id: 817563682003222538 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭
Msg_id: 817563704564121662 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Que la puissance soit avec moi
Msg_id: 817565907848265729 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: De rieennnn 😭😭😭
Msg_id: 817565923635363840 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Je vais aller dodo
Msg_id: 817565981253697569 | Auteur: Sabrina 🌶 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Bonne nuit 📍🌶🦉👾🔮🌈❄
Msg_id: 817566047023661077 | Auteur: absolut maïrouille la débrouille | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: ❤️
Msg_id: 817566117249417227 | Auteur: absolut maïrouille la débrouille | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: <3<3<3<3<3<3<33<3<3
Msg_id: 817575152983212053 | Auteur: Zibane | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Putain comment j’me trouve moche sa mère la grosse puteMsg_id: 817586427217838100 | Auteur: Saijaku | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: meme moi
Msg_id: 817657089832910848 | Auteur: Elo | Channel: 〘🌌〙𝘈𝘴𝘵𝘳𝘰𝘯𝘰𝘮𝘪𝘦 | Message: https://youtu.be/EhKV33G3Hlg
Msg_id: 817657146987905055 | Auteur: Elo | Channel: 〘🌌〙𝘈𝘴𝘵𝘳𝘰𝘯𝘰𝘮𝘪𝘦 | Message: Y’a la vidéo de la conférence si vous voulez
Msg_id: 817670946450178048 | Auteur: Sabrina 🌶 | Channel: 〘🌌〙𝘈𝘴𝘵𝘳𝘰𝘯𝘰𝘮𝘪𝘦 | Message: Merci bcp après mes td je vais cheker ça 💞
Msg_id: 817671008735461406 | Auteur: Sabrina 🌶 | Channel: 〘🥊〙𝘉𝘶𝘮𝘱-2𝘩 | Message: !d bump
Msg_id: 817673752379916289 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: J'suis morte j'ai rejoins un serv et ya un drama dedans 😭
Msg_id: 817677304096227338 | Auteur: c moi wsh | Channel: 〘📸〙𝘔𝘦𝘥𝘪𝘢𝘴 | Message: Le deuxieme matchs fallait pas avoir peur
Msg_id: 817678590689673216 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Salutt
Msg_id: 817680573719248906 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Helloooo
Msg_id: 817680828402368533 | Auteur: aomine | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Slt
Msg_id: 817681013701738545 | Auteur: adalia | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Salut
Msg_id: 817681450739826708 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: ça va ?
Msg_id: 817682524356345857 | Auteur: aomine | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Trql et toi
Msg_id: 817683516543729664 | Auteur: aomine | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Aomine >>>>>>>>> kise
Msg_id: 817683624848916481 | Auteur: aomine | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: https://c.tenor.com/LXiuNPYVm_wAAAAM/aomine.gif
Msg_id: 817685774140571680 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: trop ldemon je taff tous les wk pour des exams
Msg_id: 817686088054472716 | Auteur: aomine | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Bah c important du coup
Msg_id: 817687267174645770 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: oe mais chiant
Msg_id: 817687423893897246 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Tu les a qd ?
Msg_id: 817687494812368906 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: lundi
Msg_id: 817687568702636032 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: il me reste 10 fascicules de 50 pages a apprendre par coeur
Msg_id: 817687568867000390 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Oh bordel ! Un examen blanc ?
Msg_id: 817687575681564674 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: 🙂
Msg_id: 817687595290722334 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: non non le vrai
Msg_id: 817687645122985994 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: 50x 10 ?
Msg_id: 817687681651310683 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: oui et les pages sont longues
Msg_id: 817687746814148629 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Donc 500 pages en 2jrs ?
Msg_id: 817687791839608842 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: oe voila
Msg_id: 817687880326840371 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Putain 😭😭😭 mais moi je pleure littéralement
Msg_id: 817688009260531732 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: j'ai déjà appris 5 fascicules plus que 10 ça fera 15 en tout pour l'exam
Msg_id: 817688035360505873 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: mais c'est la sauce
Msg_id: 817688400920444949 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Attend les 5 ? Tu les a révisé quand ?
Msg_id: 817688546135244801 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: les 2 dernières semaines
Msg_id: 817688563880820746 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: mais je faisais les cours en plus
Msg_id: 817688639453528086 | Auteur: c moi wsh | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: dans 5 min je commence un full tryhard je reviens que ce soir
Msg_id: 817691205608538112 | Auteur: Sabrina 🌶 | Channel: 〘🌍〙𝘎𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Bon courage *vraiment*
